;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 04/12/2013 8:55:45 SA
;----------------------------------------------

;Address Opcode 	ASM
;__Lib_Lcd.c,181 :: 		
0x05B6	0x8041      	BSF         __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
;__Lib_Lcd.c,182 :: 		
L_end_Lcd_Init:
0x05B8	0x0012      	RETURN      0
; end of _Lcd_Init
_SPI1_Init_Advanced:
;__Lib_SPI_c345.c,40 :: 		
;__Lib_SPI_c345.c,41 :: 		
0x05BA	0x0E1A      	MOVLW       _SPI1_Read
0x05BC	0x6E3B      	MOVWF       _SPI_Rd_Ptr 
0x05BE	0x0E01      	MOVLW       hi_addr(_SPI1_Read)
0x05C0	0x6E3C      	MOVWF       _SPI_Rd_Ptr+1 
0x05C2	0x0E69      	MOVLW       FARG_SPI1_Read_buffer
0x05C4	0x6E3D      	MOVWF       _SPI_Rd_Ptr+2 
0x05C6	0x0E04      	MOVLW       hi_addr(FARG_SPI1_Read_buffer)
0x05C8	0x6E3E      	MOVWF       _SPI_Rd_Ptr+3 
;__Lib_SPI_c345.c,42 :: 		
0x05CA	0x0EFF      	MOVLW       _SPI1_Write
0x05CC	0x6E42      	MOVWF       _SPI_Wr_Ptr 
0x05CE	0x0EFF      	MOVLW       hi_addr(_SPI1_Write)
0x05D0	0x6E43      	MOVWF       _SPI_Wr_Ptr+1 
0x05D2	0x0EFF      	MOVLW       FARG_SPI1_Write_data_
0x05D4	0x6E44      	MOVWF       _SPI_Wr_Ptr+2 
0x05D6	0x0EFF      	MOVLW       hi_addr(FARG_SPI1_Write_data_)
0x05D8	0x6E45      	MOVWF       _SPI_Wr_Ptr+3 
;__Lib_SPI_c345.c,44 :: 		
0x05DA	0x9A94      	BCF         TRISC5_bit, BitPos(TRISC5_bit+0) 
;__Lib_SPI_c345.c,45 :: 		
0x05DC	0x0104      	MOVLB       4
0x05DE	0x514D      	MOVF        FARG_SPI1_Init_Advanced_master, 0, 1
0x05E0	0x0A04      	XORLW       4
0x05E2	0xE102      	BNZ         L_SPI1_Init_Advanced0
0x05E4	0x8694      	BSF         TRISC3_bit, BitPos(TRISC3_bit+0) 
0x05E6	0xD001      	BRA         L_SPI1_Init_Advanced1
L_SPI1_Init_Advanced0:
;__Lib_SPI_c345.c,46 :: 		
0x05E8	0x9694      	BCF         TRISC3_bit, BitPos(TRISC3_bit+0) 
L_SPI1_Init_Advanced1:
;__Lib_SPI_c345.c,47 :: 		
0x05EA	0x8894      	BSF         TRISC4_bit, BitPos(TRISC4_bit+0) 
;__Lib_SPI_c345.c,49 :: 		
0x05EC	0x6AC6      	CLRF        SSPCON1 
;__Lib_SPI_c345.c,50 :: 		
0x05EE	0x514D      	MOVF        FARG_SPI1_Init_Advanced_master, 0, 1
0x05F0	0x12C6      	IORWF       SSPCON1, 1 
;__Lib_SPI_c345.c,51 :: 		
0x05F2	0x514F      	MOVF        FARG_SPI1_Init_Advanced_clock_idle, 0, 1
0x05F4	0x12C6      	IORWF       SSPCON1, 1 
;__Lib_SPI_c345.c,52 :: 		
0x05F6	0x514E      	MOVF        FARG_SPI1_Init_Advanced_data_sample, 0, 1
0x05F8	0x12C7      	IORWF       SSPSTAT, 1 
;__Lib_SPI_c345.c,54 :: 		
0x05FA	0x534F      	MOVF        FARG_SPI1_Init_Advanced_clock_idle, 1, 1
0x05FC	0xE005      	BZ          L_SPI1_Init_Advanced2
;__Lib_SPI_c345.c,55 :: 		
0x05FE	0x5150      	MOVF        FARG_SPI1_Init_Advanced_transmit_edge, 0, 1
0x0600	0x0A00      	XORLW       0
0x0602	0xB4D8      	BTFSC       STATUS, 2 
;__Lib_SPI_c345.c,56 :: 		
0x0604	0x8CC7      	BSF         SSPSTAT, 6 
L_SPI1_Init_Advanced3:
;__Lib_SPI_c345.c,57 :: 		
0x0606	0xD003      	BRA         L_SPI1_Init_Advanced4
L_SPI1_Init_Advanced2:
;__Lib_SPI_c345.c,59 :: 		
0x0608	0x5350      	MOVF        FARG_SPI1_Init_Advanced_transmit_edge, 1, 1
0x060A	0xA4D8      	BTFSS       STATUS, 2 
;__Lib_SPI_c345.c,60 :: 		
0x060C	0x8CC7      	BSF         SSPSTAT, 6 
L_SPI1_Init_Advanced5:
;__Lib_SPI_c345.c,61 :: 		
L_SPI1_Init_Advanced4:
;__Lib_SPI_c345.c,62 :: 		
0x060E	0x8AC6      	BSF         SSPCON1, 5 
;__Lib_SPI_c345.c,63 :: 		
L_end_SPI1_Init_Advanced:
0x0610	0x0012      	RETURN      0
; end of _SPI1_Init_Advanced
_Mmc_Init:
;__Lib_Mmc.c,164 :: 		
;__Lib_Mmc.c,168 :: 		
0x0612	0x0E05      	MOVLW       5
0x0614	0x6E1C      	MOVWF       __Lib_Mmc_cardType 
;__Lib_Mmc.c,170 :: 		
0x0616	0x9494      	BCF         Mmc_Chip_Select_Direction, BitPos(Mmc_Chip_Select_Direction+0) 
;__Lib_Mmc.c,172 :: 		
0x0618	0xDDEC      	RCALL       __Lib_Mmc_Mmc_DeSelect
;__Lib_Mmc.c,175 :: 		
0x061A	0x0104      	MOVLB       4
0x061C	0x6B4D      	CLRF        Mmc_Init_cnt_L0, 1
0x061E	0x6B4E      	CLRF        Mmc_Init_cnt_L0+1, 1
L_Mmc_Init19:
0x0620	0x0E00      	MOVLW       0
0x0622	0x5D4E      	SUBWF       Mmc_Init_cnt_L0+1, 0, 1
0x0624	0xE102      	BNZ         L__Mmc_Init86
0x0626	0x0E0A      	MOVLW       10
0x0628	0x5D4D      	SUBWF       Mmc_Init_cnt_L0, 0, 1
L__Mmc_Init86:
0x062A	0xE20F      	BC          L_Mmc_Init20
;__Lib_Mmc.c,176 :: 		
0x062C	0xFFE1C03D  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x0630	0xFFE2C03E  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x0634	0x0EFF      	MOVLW       255
0x0636	0x6EE6      	MOVWF       POSTINC1 
0x0638	0xF000C03B  	MOVFF       _SPI_Rd_Ptr, R0
0x063C	0xF001C03C  	MOVFF       _SPI_Rd_Ptr+1, R1
0x0640	0xDD8B      	RCALL       _____DoIFC
;__Lib_Mmc.c,175 :: 		
0x0642	0x0104      	MOVLB       4
0x0644	0x4B4D      	INFSNZ      Mmc_Init_cnt_L0, 1, 1
0x0646	0x2B4E      	INCF        Mmc_Init_cnt_L0+1, 1, 1
;__Lib_Mmc.c,176 :: 		
0x0648	0xD7EB      	BRA         L_Mmc_Init19
L_Mmc_Init20:
;__Lib_Mmc.c,180 :: 		
0x064A	0xDD92      	RCALL       __Lib_Mmc_Mmc_Select
;__Lib_Mmc.c,182 :: 		
0x064C	0x6B60      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_partial_cmm, 1
0x064E	0x6B61      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content, 1
0x0650	0x6B62      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content+1, 1
0x0652	0x6B63      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content+2, 1
0x0654	0x6B64      	CLRF        FARG___Lib_Mmc_Mmc_Send_Command_content+3, 1
0x0656	0x0E95      	MOVLW       149
0x0658	0x6F65      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_crc, 1
0x065A	0xDDD8      	RCALL       __Lib_Mmc_Mmc_Send_Command
0x065C	0xF44FC000  	MOVFF       R0, Mmc_Init_response_L0
;__Lib_Mmc.c,183 :: 		
0x0660	0xDDC8      	RCALL       __Lib_Mmc_Mmc_DeSelect
;__Lib_Mmc.c,186 :: 		
0x0662	0x0104      	MOVLB       4
0x0664	0x514F      	MOVF        Mmc_Init_response_L0, 0, 1
0x0666	0x0A01      	XORLW       1
0x0668	0xE003      	BZ          L_Mmc_Init22
;__Lib_Mmc.c,187 :: 		
0x066A	0x0E01      	MOVLW       1
0x066C	0x6E00      	MOVWF       R0 
0x066E	0xD072      	BRA         L_end_Mmc_Init
L_Mmc_Init22:
;__Lib_Mmc.c,189 :: 		
0x0670	0xDD7F      	RCALL       __Lib_Mmc_Mmc_Select
;__Lib_Mmc.c,190 :: 		
0x0672	0x0E08      	MOVLW       8
0x0674	0x6F60      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_partial_cmm, 1
0x0676	0x0EAA      	MOVLW       170
0x0678	0x6F61      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_content, 1
0x067A	0x0E01      	MOVLW       1
0x067C	0x6F62      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_content+1, 1
0x067E	0x0E00      	MOVLW       0
0x0680	0x6F63      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_content+2, 1
0x0682	0x6F64      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_content+3, 1
0x0684	0x0E87      	MOVLW       135
0x0686	0x6F65      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_crc, 1
0x0688	0xDDC1      	RCALL       __Lib_Mmc_Mmc_Send_Command
0x068A	0xF44FC000  	MOVFF       R0, Mmc_Init_response_L0
;__Lib_Mmc.c,192 :: 		
0x068E	0xFFE1C03D  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x0692	0xFFE2C03E  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x0696	0x0EFF      	MOVLW       255
0x0698	0x6EE6      	MOVWF       POSTINC1 
0x069A	0xF000C03B  	MOVFF       _SPI_Rd_Ptr, R0
0x069E	0xF001C03C  	MOVFF       _SPI_Rd_Ptr+1, R1
0x06A2	0xDD5A      	RCALL       _____DoIFC
;__Lib_Mmc.c,193 :: 		
0x06A4	0xFFE1C03D  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x06A8	0xFFE2C03E  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x06AC	0x0EFF      	MOVLW       255
0x06AE	0x6EE6      	MOVWF       POSTINC1 
0x06B0	0xF000C03B  	MOVFF       _SPI_Rd_Ptr, R0
0x06B4	0xF001C03C  	MOVFF       _SPI_Rd_Ptr+1, R1
0x06B8	0xDD4F      	RCALL       _____DoIFC
;__Lib_Mmc.c,194 :: 		
0x06BA	0xFFE1C03D  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x06BE	0xFFE2C03E  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x06C2	0x0EFF      	MOVLW       255
0x06C4	0x6EE6      	MOVWF       POSTINC1 
0x06C6	0xF000C03B  	MOVFF       _SPI_Rd_Ptr, R0
0x06CA	0xF001C03C  	MOVFF       _SPI_Rd_Ptr+1, R1
0x06CE	0xDD44      	RCALL       _____DoIFC
;__Lib_Mmc.c,195 :: 		
0x06D0	0xFFE1C03D  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x06D4	0xFFE2C03E  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x06D8	0x0EFF      	MOVLW       255
0x06DA	0x6EE6      	MOVWF       POSTINC1 
0x06DC	0xF000C03B  	MOVFF       _SPI_Rd_Ptr, R0
0x06E0	0xF001C03C  	MOVFF       _SPI_Rd_Ptr+1, R1
0x06E4	0xDD39      	RCALL       _____DoIFC
;__Lib_Mmc.c,196 :: 		
0x06E6	0xDD85      	RCALL       __Lib_Mmc_Mmc_DeSelect
;__Lib_Mmc.c,199 :: 		
0x06E8	0x0104      	MOVLB       4
0x06EA	0x514F      	MOVF        Mmc_Init_response_L0, 0, 1
0x06EC	0x0A01      	XORLW       1
0x06EE	0xE008      	BZ          L_Mmc_Init23
;__Lib_Mmc.c,201 :: 		
0x06F0	0x0E01      	MOVLW       1
0x06F2	0x6F5B      	MOVWF       FARG___Lib_Mmc_Mmc_UnIdle_ctype, 1
0x06F4	0xDDFA      	RCALL       __Lib_Mmc_Mmc_UnIdle
0x06F6	0x5200      	MOVF        R0, 1 
0x06F8	0xE002      	BZ          L_Mmc_Init24
;__Lib_Mmc.c,202 :: 		
0x06FA	0x6B5B      	CLRF        FARG___Lib_Mmc_Mmc_UnIdle_ctype, 1
0x06FC	0xDDF6      	RCALL       __Lib_Mmc_Mmc_UnIdle
L_Mmc_Init24:
;__Lib_Mmc.c,203 :: 		
0x06FE	0xD003      	BRA         L_Mmc_Init25
L_Mmc_Init23:
;__Lib_Mmc.c,206 :: 		
0x0700	0x0E02      	MOVLW       2
0x0702	0x6F5B      	MOVWF       FARG___Lib_Mmc_Mmc_UnIdle_ctype, 1
0x0704	0xDDF2      	RCALL       __Lib_Mmc_Mmc_UnIdle
;__Lib_Mmc.c,207 :: 		
L_Mmc_Init25:
;__Lib_Mmc.c,210 :: 		
0x0706	0x0E00      	MOVLW       0
0x0708	0x0A00      	XORLW       0
0x070A	0xE102      	BNZ         L__Mmc_Init87
0x070C	0x0E05      	MOVLW       5
0x070E	0x181C      	XORWF       __Lib_Mmc_cardType, 0 
L__Mmc_Init87:
0x0710	0xE103      	BNZ         L_Mmc_Init26
;__Lib_Mmc.c,211 :: 		
0x0712	0x0E02      	MOVLW       2
0x0714	0x6E00      	MOVWF       R0 
0x0716	0xD01E      	BRA         L_end_Mmc_Init
L_Mmc_Init26:
;__Lib_Mmc.c,213 :: 		
0x0718	0x0E00      	MOVLW       0
0x071A	0x0A00      	XORLW       0
0x071C	0xE102      	BNZ         L__Mmc_Init88
0x071E	0x0E04      	MOVLW       4
0x0720	0x181C      	XORWF       __Lib_Mmc_cardType, 0 
L__Mmc_Init88:
0x0722	0xE017      	BZ          L_Mmc_Init27
;__Lib_Mmc.c,215 :: 		
0x0724	0xDD25      	RCALL       __Lib_Mmc_Mmc_Select
;__Lib_Mmc.c,217 :: 		
0x0726	0x0E10      	MOVLW       16
0x0728	0x6F60      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_partial_cmm, 1
0x072A	0x0E00      	MOVLW       0
0x072C	0x6F61      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_content, 1
0x072E	0x0E02      	MOVLW       2
0x0730	0x6F62      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_content+1, 1
0x0732	0x0E00      	MOVLW       0
0x0734	0x6F63      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_content+2, 1
0x0736	0x6F64      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_content+3, 1
0x0738	0x0EFF      	MOVLW       255
0x073A	0x6F65      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_crc, 1
0x073C	0xDD67      	RCALL       __Lib_Mmc_Mmc_Send_Command
0x073E	0xF44FC000  	MOVFF       R0, Mmc_Init_response_L0
;__Lib_Mmc.c,218 :: 		
0x0742	0xDD57      	RCALL       __Lib_Mmc_Mmc_DeSelect
;__Lib_Mmc.c,220 :: 		
0x0744	0x0104      	MOVLB       4
0x0746	0x514F      	MOVF        Mmc_Init_response_L0, 0, 1
0x0748	0x0A00      	XORLW       0
0x074A	0xE003      	BZ          L_Mmc_Init28
;__Lib_Mmc.c,221 :: 		
0x074C	0x0E03      	MOVLW       3
0x074E	0x6E00      	MOVWF       R0 
0x0750	0xD001      	BRA         L_end_Mmc_Init
L_Mmc_Init28:
;__Lib_Mmc.c,222 :: 		
L_Mmc_Init27:
;__Lib_Mmc.c,224 :: 		
0x0752	0x6A00      	CLRF        R0 
;__Lib_Mmc.c,225 :: 		
L_end_Mmc_Init:
0x0754	0x0012      	RETURN      0
; end of _Mmc_Init
_timer1Config:
;soundrec.c,480 :: 		void timer1Config(void)
;soundrec.c,482 :: 		PIE1 = (1 << TMR1IE);
0x0756	0x0E01      	MOVLW       1
0x0758	0x6E9D      	MOVWF       PIE1 
;soundrec.c,484 :: 		if (samplingRate == _16KHZ) {
0x075A	0x5025      	MOVF        soundrec_samplingRate, 0 
0x075C	0x0A00      	XORLW       0
0x075E	0xE105      	BNZ         L_timer1Config65
;soundrec.c,485 :: 		timerH = _16KHZ_HIGHBYTE;
0x0760	0x0EFE      	MOVLW       254
0x0762	0x6E26      	MOVWF       soundrec_timerH 
;soundrec.c,486 :: 		timerL = _16KHZ_LOWBYTE;
0x0764	0x0EC7      	MOVLW       199
0x0766	0x6E1B      	MOVWF       soundrec_timerL 
;soundrec.c,487 :: 		}
0x0768	0xD007      	BRA         L_timer1Config66
L_timer1Config65:
;soundrec.c,488 :: 		else if (samplingRate == _8KHZ) {
0x076A	0x5025      	MOVF        soundrec_samplingRate, 0 
0x076C	0x0A01      	XORLW       1
0x076E	0xE104      	BNZ         L_timer1Config67
;soundrec.c,489 :: 		timerH = _8KHZ_HIGHBYTE;
0x0770	0x0EFD      	MOVLW       253
0x0772	0x6E26      	MOVWF       soundrec_timerH 
;soundrec.c,490 :: 		timerL = _8KHZ_LOWBYTE;
0x0774	0x0E8E      	MOVLW       142
0x0776	0x6E1B      	MOVWF       soundrec_timerL 
;soundrec.c,491 :: 		}
L_timer1Config67:
L_timer1Config66:
;soundrec.c,493 :: 		TMR1H = timerH;
0x0778	0xFFCFC026  	MOVFF       soundrec_timerH, TMR1H
;soundrec.c,494 :: 		TMR1L = timerL;
0x077C	0xFFCEC01B  	MOVFF       soundrec_timerL, TMR1L
;soundrec.c,495 :: 		}
L_end_timer1Config:
0x0780	0x0012      	RETURN      0
; end of _timer1Config
_Mmc_Read_Sector:
;__Lib_Mmc.c,231 :: 		
;__Lib_Mmc.c,236 :: 		
0x0782	0xDCF6      	RCALL       __Lib_Mmc_Mmc_Select
;__Lib_Mmc.c,238 :: 		
0x0784	0x0E00      	MOVLW       0
0x0786	0x0A00      	XORLW       0
0x0788	0xE102      	BNZ         L__Mmc_Read_Sector90
0x078A	0x0E04      	MOVLW       4
0x078C	0x181C      	XORWF       __Lib_Mmc_cardType, 0 
L__Mmc_Read_Sector90:
0x078E	0xE109      	BNZ         L_Mmc_Read_Sector29
;__Lib_Mmc.c,239 :: 		
0x0790	0xF455C44D  	MOVFF       FARG_Mmc_Read_Sector_sector, Mmc_Read_Sector_byte_start_L0
0x0794	0xF456C44E  	MOVFF       FARG_Mmc_Read_Sector_sector+1, Mmc_Read_Sector_byte_start_L0+1
0x0798	0xF457C44F  	MOVFF       FARG_Mmc_Read_Sector_sector+2, Mmc_Read_Sector_byte_start_L0+2
0x079C	0xF458C450  	MOVFF       FARG_Mmc_Read_Sector_sector+3, Mmc_Read_Sector_byte_start_L0+3
0x07A0	0xD014      	BRA         L_Mmc_Read_Sector30
L_Mmc_Read_Sector29:
;__Lib_Mmc.c,241 :: 		
0x07A2	0x0E09      	MOVLW       9
0x07A4	0x6E00      	MOVWF       R0 
0x07A6	0xF455C44D  	MOVFF       FARG_Mmc_Read_Sector_sector, Mmc_Read_Sector_byte_start_L0
0x07AA	0xF456C44E  	MOVFF       FARG_Mmc_Read_Sector_sector+1, Mmc_Read_Sector_byte_start_L0+1
0x07AE	0xF457C44F  	MOVFF       FARG_Mmc_Read_Sector_sector+2, Mmc_Read_Sector_byte_start_L0+2
0x07B2	0xF458C450  	MOVFF       FARG_Mmc_Read_Sector_sector+3, Mmc_Read_Sector_byte_start_L0+3
0x07B6	0x5000      	MOVF        R0, 0 
L__Mmc_Read_Sector91:
0x07B8	0xE008      	BZ          L__Mmc_Read_Sector92
0x07BA	0x0104      	MOVLB       4
0x07BC	0x3755      	RLCF        Mmc_Read_Sector_byte_start_L0, 1, 1
0x07BE	0x9155      	BCF         Mmc_Read_Sector_byte_start_L0, 0, 1
0x07C0	0x3756      	RLCF        Mmc_Read_Sector_byte_start_L0+1, 1, 1
0x07C2	0x3757      	RLCF        Mmc_Read_Sector_byte_start_L0+2, 1, 1
0x07C4	0x3758      	RLCF        Mmc_Read_Sector_byte_start_L0+3, 1, 1
0x07C6	0x0FFF      	ADDLW       255
0x07C8	0xD7F7      	BRA         L__Mmc_Read_Sector91
L__Mmc_Read_Sector92:
L_Mmc_Read_Sector30:
0x07CA	0x0104      	MOVLB       4
;__Lib_Mmc.c,244 :: 		
0x07CC	0x0E11      	MOVLW       17
0x07CE	0x6F60      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_partial_cmm, 1
0x07D0	0xF461C455  	MOVFF       Mmc_Read_Sector_byte_start_L0, FARG___Lib_Mmc_Mmc_Send_Command_content
0x07D4	0xF462C456  	MOVFF       Mmc_Read_Sector_byte_start_L0+1, FARG___Lib_Mmc_Mmc_Send_Command_content+1
0x07D8	0xF463C457  	MOVFF       Mmc_Read_Sector_byte_start_L0+2, FARG___Lib_Mmc_Mmc_Send_Command_content+2
0x07DC	0xF464C458  	MOVFF       Mmc_Read_Sector_byte_start_L0+3, FARG___Lib_Mmc_Mmc_Send_Command_content+3
0x07E0	0x0EFF      	MOVLW       255
0x07E2	0x6F65      	MOVWF       FARG___Lib_Mmc_Mmc_Send_Command_crc, 1
0x07E4	0xDD13      	RCALL       __Lib_Mmc_Mmc_Send_Command
;__Lib_Mmc.c,245 :: 		
0x07E6	0x5200      	MOVF        R0, 1 
0x07E8	0xE004      	BZ          L_Mmc_Read_Sector31
;__Lib_Mmc.c,247 :: 		
0x07EA	0xDD03      	RCALL       __Lib_Mmc_Mmc_DeSelect
;__Lib_Mmc.c,248 :: 		
0x07EC	0x0E01      	MOVLW       1
0x07EE	0x6E00      	MOVWF       R0 
0x07F0	0xD04B      	BRA         L_end_Mmc_Read_Sector
;__Lib_Mmc.c,249 :: 		
L_Mmc_Read_Sector31:
;__Lib_Mmc.c,251 :: 		
L_Mmc_Read_Sector32:
0x07F2	0xFFE1C03D  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x07F6	0xFFE2C03E  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x07FA	0x0EFF      	MOVLW       255
0x07FC	0x6EE6      	MOVWF       POSTINC1 
0x07FE	0xF000C03B  	MOVFF       _SPI_Rd_Ptr, R0
0x0802	0xF001C03C  	MOVFF       _SPI_Rd_Ptr+1, R1
0x0806	0xDCA8      	RCALL       _____DoIFC
0x0808	0x5000      	MOVF        R0, 0 
0x080A	0x0AFE      	XORLW       254
0x080C	0xE001      	BZ          L_Mmc_Read_Sector33
;__Lib_Mmc.c,252 :: 		
0x080E	0xD7F1      	BRA         L_Mmc_Read_Sector32
L_Mmc_Read_Sector33:
;__Lib_Mmc.c,255 :: 		
0x0810	0x0104      	MOVLB       4
0x0812	0x6B53      	CLRF        Mmc_Read_Sector_i_L0, 1
0x0814	0x6B54      	CLRF        Mmc_Read_Sector_i_L0+1, 1
L_Mmc_Read_Sector34:
0x0816	0x0E02      	MOVLW       2
0x0818	0x5D54      	SUBWF       Mmc_Read_Sector_i_L0+1, 0, 1
0x081A	0xE102      	BNZ         L__Mmc_Read_Sector93
0x081C	0x0E00      	MOVLW       0
0x081E	0x5D53      	SUBWF       Mmc_Read_Sector_i_L0, 0, 1
L__Mmc_Read_Sector93:
0x0820	0xE21B      	BC          L_Mmc_Read_Sector35
;__Lib_Mmc.c,257 :: 		
0x0822	0x5153      	MOVF        Mmc_Read_Sector_i_L0, 0, 1
0x0824	0x2551      	ADDWF       FARG_Mmc_Read_Sector_dbuff, 0, 1
0x0826	0x6F59      	MOVWF       FLOC__Mmc_Read_Sector, 1
0x0828	0x5154      	MOVF        Mmc_Read_Sector_i_L0+1, 0, 1
0x082A	0x2152      	ADDWFC      FARG_Mmc_Read_Sector_dbuff+1, 0, 1
0x082C	0x6F5A      	MOVWF       FLOC__Mmc_Read_Sector+1, 1
0x082E	0xFFE1C03D  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x0832	0xFFE2C03E  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x0836	0x0EFF      	MOVLW       255
0x0838	0x6EE6      	MOVWF       POSTINC1 
0x083A	0xF000C03B  	MOVFF       _SPI_Rd_Ptr, R0
0x083E	0xF001C03C  	MOVFF       _SPI_Rd_Ptr+1, R1
0x0842	0xDC8A      	RCALL       _____DoIFC
0x0844	0xFFE1C459  	MOVFF       FLOC__Mmc_Read_Sector, FSR1L
0x0848	0xFFE2C45A  	MOVFF       FLOC__Mmc_Read_Sector+1, FSR1H
0x084C	0xFFE6C000  	MOVFF       R0, POSTINC1
;__Lib_Mmc.c,255 :: 		
0x0850	0x0104      	MOVLB       4
0x0852	0x4B53      	INFSNZ      Mmc_Read_Sector_i_L0, 1, 1
0x0854	0x2B54      	INCF        Mmc_Read_Sector_i_L0+1, 1, 1
;__Lib_Mmc.c,258 :: 		
0x0856	0xD7DF      	BRA         L_Mmc_Read_Sector34
L_Mmc_Read_Sector35:
;__Lib_Mmc.c,261 :: 		
0x0858	0xFFE1C03D  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x085C	0xFFE2C03E  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x0860	0x0EFF      	MOVLW       255
0x0862	0x6EE6      	MOVWF       POSTINC1 
0x0864	0xF000C03B  	MOVFF       _SPI_Rd_Ptr, R0
0x0868	0xF001C03C  	MOVFF       _SPI_Rd_Ptr+1, R1
0x086C	0xDC75      	RCALL       _____DoIFC
;__Lib_Mmc.c,262 :: 		
0x086E	0xFFE1C03D  	MOVFF       _SPI_Rd_Ptr+2, FSR1L
0x0872	0xFFE2C03E  	MOVFF       _SPI_Rd_Ptr+3, FSR1H
0x0876	0x0EFF      	MOVLW       255
0x0878	0x6EE6      	MOVWF       POSTINC1 
0x087A	0xF000C03B  	MOVFF       _SPI_Rd_Ptr, R0
0x087E	0xF001C03C  	MOVFF       _SPI_Rd_Ptr+1, R1
0x0882	0xDC6A      	RCALL       _____DoIFC
;__Lib_Mmc.c,264 :: 		
0x0884	0xDCB6      	RCALL       __Lib_Mmc_Mmc_DeSelect
;__Lib_Mmc.c,267 :: 		
0x0886	0x6A00      	CLRF        R0 
;__Lib_Mmc.c,268 :: 		
L_end_Mmc_Read_Sector:
0x0888	0x0012      	RETURN      0
; end of _Mmc_Read_Sector
_Mmc_Write_Sector:
;__Lib_Mmc.c,276 :: 		
;__Lib_Mmc.c,280 :: 		
0x088A	0xDC72      	RCALL       __Lib_Mmc_Mmc_Select
;__Lib_Mmc.c,282 :: 		
0x088C	0x0E00      	MOVLW       0
0x088E	0x0A00      	XORLW       0
0x0890	0xE102      	BNZ         L__Mmc_Write_Sector95
0x0892	0x0E04      	MOVLW       4
0x0894	0x181C      	XORWF       __Lib_Mmc_cardType, 0 
L__Mmc_Write_Sector95:
0x0896	0xE109      	BNZ         L_Mmc_Write_Sector37
;__Lib_Mmc.c,283 :: 		
0x0898	0xF455C44D  	MOVFF       FARG_Mmc_Write_Sector_sector, Mmc_Write_Sector_byte_start_L0
0x089C	0xF456C44E  	MOVFF       FARG_Mmc_Write_Sector_sector+1, Mmc_Write_Sector_byte_start_L0+1
0x08A0	0xF457C44F  	MOVFF       FARG_Mmc_Write_Sector_sector+2, Mmc_Write_Sector_byte_start_L0+2
0x08A4	0xF458C450  	MOVFF       FARG_Mmc_Write_Sector_sector+3, Mmc_Write_Sector_byte_start_L0+3
0x08A8	0xD014      	BRA         L_Mmc_Write_Sector38
L_Mmc_Write_Sector37:
;__Lib_Mmc.c,285 :: 		
0x08AA	0x0E09      	MOVLW       9
0x08AC	0x6E00      	MOVWF       R0 
0x08AE	0xF455C44D  	MOVFF       FARG_Mmc_Write_Sector_sector, Mmc_Write_Sector_byte_start_L0
0x08B2	0xF456C44E  	MOVFF       FARG_Mmc_Write_Sector_sector+1, Mmc_Write_Sector_byte_start_L0+1
0x08B6	0xF457C44F  	MOVFF       FARG_Mmc_Write_Sector_sector+2, Mmc_Write_Sector_byte_start_L0+2
0x08BA	0xF458C450  	MOVFF       FARG_Mmc_Write_Sector_sector+3, Mmc_Write_Sector_byte_start_L0+3
0x08BE	0x5000      	MOVF        R0, 0 
L__Mmc_Write_Sector96:
